Date,Normalized_Balance,dayofweek_sin,dayofweek_cos,balance_1d_ago,balance_7d_ago,balance_30d_ago,rolling_mean_7d,rolling_mean_30d,rolling_std_7d,rolling_std_30d,balance_changed
2022-12-27,0.04940983670662181,0.7818314824680298,0.6234898018587336,0.04940983670662181,0.04940983670662181,0.04940983670662181,0.04940983670662181,0.04940983670662181,0.0,0.0,1
2022-12-28,0.019695603832731928,0.9749279121818236,-0.22252093395631434,0.04940983670662181,0.04940983670662181,0.04940983670662181,0.019695603832731928,0.034552720269676866,0.021011135562883768,0.021011135562883768,1
2022-12-29,0.019695603832731928,0.43388373911755823,-0.900968867902419,0.019695603832731928,0.04940983670662181,0.04940983670662181,0.019695603832731928,0.029600348124028553,0.01715552034850355,0.01715552034850355,0
2022-12-30,0.019695603832731928,-0.433883739117558,-0.9009688679024191,0.019695603832731928,0.04940983670662181,0.04940983670662181,0.019695603832731928,0.0271241620512044,0.014857116436944939,0.014857116436944939,0
2022-12-31,0.019695603832731928,-0.9749279121818236,-0.2225209339563146,0.019695603832731928,0.04940983670662181,0.04940983670662181,0.019695603832731928,0.025638450407509904,0.013288608921055342,0.013288608921055342,0
2023-01-01,0.019695603832731928,-0.7818314824680299,0.6234898018587334,0.019695603832731928,0.04940983670662181,0.04940983670662181,0.019695603832731928,0.02464797597838024,0.012130784773210663,0.012130784773210663,0
2023-01-02,0.019695603832731928,0.0,1.0,0.019695603832731928,0.04940983670662181,0.04940983670662181,0.023940494243287622,0.023940494243287622,0.011230924369053243,0.011230924369053243,0
2023-01-03,0.019695603832731928,0.7818314824680298,0.6234898018587336,0.019695603832731928,0.04940983670662181,0.04940983670662181,0.019695603832731928,0.023409882941968163,0.0,0.010505567781441884,0
2023-01-04,0.44764931595161644,0.9749279121818236,-0.22252093395631434,0.019695603832731928,0.019695603832731928,0.04940983670662181,0.080831848421144,0.07054759772081796,0.1617512992733567,0.14175418327604627,1
2023-01-05,0.5603851154751547,0.43388373911755823,-0.900968867902419,0.44764931595161644,0.019695603832731928,0.04940983670662181,0.1580732072272044,0.11953134949625163,0.23855502505294568,0.20458649413168026,1
2023-01-06,0.5603851154751547,-0.433883739117558,-0.9009688679024191,0.5603851154751547,0.019695603832731928,0.04940983670662181,0.2353145660332648,0.15960896458524282,0.27153695810255507,0.23524123313402676,0
2023-01-07,0.5603851154751547,-0.9749279121818236,-0.2225209339563146,0.5603851154751547,0.019695603832731928,0.04940983670662181,0.3125559248393252,0.19300697715940215,0.2768301676648531,0.2523743204519581,0
2023-01-08,0.5603851154751547,-0.7818314824680299,0.6234898018587334,0.5603851154751547,0.019695603832731928,0.04940983670662181,0.3897972836453856,0.2212668339529216,0.2561569173754581,0.2622348528822239,0
2023-01-09,0.5542639835031333,0.0,1.0,0.5603851154751547,0.019695603832731928,0.04940983670662181,0.4661641950268715,0.24505234463507958,0.20122495860773162,0.267203755608215,1
2023-01-10,0.5542639835031333,0.7818314824680298,0.6234898018587336,0.5542639835031333,0.019695603832731928,0.04940983670662181,0.5425311064083573,0.2656664538929498,0.04193832282679746,0.26957767582551195,0
2023-01-11,0.15840158345958416,0.9749279121818236,-0.22252093395631434,0.5542639835031333,0.44764931595161644,0.04940983670662181,0.5012100017666385,0.25896239949086447,0.15119184168247976,0.26181372120282465,1
2023-01-12,0.15840158345958416,0.43388373911755823,-0.900968867902419,0.15840158345958416,0.5603851154751547,0.04940983670662181,0.4437837829072713,0.2530470573713774,0.19497237464164896,0.25467062002237484,0
2023-01-13,0.15840158345958416,-0.433883739117558,-0.9009688679024191,0.15840158345958416,0.5603851154751547,0.04940983670662181,0.3863575640479041,0.24778897548738887,0.21324793705841832,0.24807187138378506,0
2023-01-14,0.15840158345958416,-0.9749279121818236,-0.2225209339563146,0.15840158345958416,0.5603851154751547,0.04940983670662181,0.3289313451885369,0.24308437590697812,0.21269776761908646,0.24195312692154147,0
2023-01-15,0.15840158345958416,-0.7818314824680299,0.6234898018587334,0.15840158345958416,0.5603851154751547,0.04940983670662181,0.2715051263291696,0.2388502362846084,0.19316107254004053,0.23625992575727875,0
2023-01-16,0.15840158345958416,0.0,1.0,0.15840158345958416,0.5542639835031333,0.04940983670662181,0.21495335489437692,0.23501934805484537,0.14962192341662797,0.23094589126048723,0
2023-01-17,0.15840158345958416,0.7818314824680298,0.6234898018587336,0.15840158345958416,0.5542639835031333,0.04940983670662181,0.15840158345958416,0.2315367223914244,0.0,0.22597129449601897,0
2023-01-18,0.15840158345958416,0.9749279121818236,-0.22252093395631434,0.15840158345958416,0.15840158345958416,0.04940983670662181,0.15840158345958416,0.22835693374221397,0.0,0.22130190597321234,0
2023-01-19,0.21170891723534258,0.43388373911755823,-0.900968867902419,0.15840158345958416,0.15840158345958416,0.04940983670662181,0.1660169168561211,0.22766326638776094,0.02014827831808183,0.21646421003405272,1
2023-01-20,0.0631080386330193,-0.433883739117558,-0.9009688679024191,0.21170891723534258,0.15840158345958416,0.04940983670662181,0.15240355330946898,0.22108105727757127,0.04410347106544051,0.21444702465998522,1
2023-01-21,0.0631080386330193,-0.9749279121818236,-0.2225209339563146,0.0631080386330193,0.15840158345958416,0.04940983670662181,0.13879018976281685,0.2150051719450885,0.055243617831079256,0.2123860901212929,0
2023-01-22,0.0631080386330193,-0.7818314824680299,0.6234898018587334,0.0631080386330193,0.15840158345958416,0.04940983670662181,0.12517682621616472,0.20937935219278964,0.06104241617368578,0.21030330433235353,0
